interval60,Temperature,Precipitation,Wind_Speed
2025-07-09T14:00:00Z,87,0,4
2025-07-09T15:00:00Z,86,0,7
2025-07-09T16:00:00Z,87,0,7
2025-07-09T17:00:00Z,89,0,9
2025-07-09T18:00:00Z,89,0,6
2025-07-09T19:00:00Z,90,0,4
2025-07-09T20:00:00Z,90,0,5
2025-07-09T21:00:00Z,90,0,7
2025-07-09T22:00:00Z,87,0,4
2025-07-09T23:00:00Z,86,0,5
2025-07-10T00:00:00Z,85,1e-4,9
2025-07-10T01:00:00Z,72,0.1,6
2025-07-10T02:00:00Z,73,0.04,6
2025-07-10T03:00:00Z,74,0.02,6
2025-07-10T04:00:00Z,74,0,3
2025-07-10T05:00:00Z,73,0,3
2025-07-10T06:00:00Z,74,0,0
2025-07-10T07:00:00Z,74,0,5
2025-07-10T08:00:00Z,72,0,5
2025-07-10T09:00:00Z,72,0,0
2025-07-10T10:00:00Z,72,0,4
2025-07-10T11:00:00Z,73,0,0
2025-07-10T12:00:00Z,75,0,0
2025-07-10T13:00:00Z,77,0,0
2025-07-10T14:00:00Z,79,0,0
2025-07-10T15:00:00Z,79,0,3
2025-07-10T16:00:00Z,80,0,0
2025-07-10T17:00:00Z,81,0,4
2025-07-10T18:00:00Z,82,0,5
2025-07-10T19:00:00Z,85,0,3
2025-07-10T20:00:00Z,83,0,3
2025-07-10T21:00:00Z,82,0,5
2025-07-10T22:00:00Z,82,0,5
2025-07-10T23:00:00Z,80,0,5
2025-07-11T00:00:00Z,78,0,5
2025-07-11T01:00:00Z,76,0,5
2025-07-11T02:00:00Z,76,0,3
2025-07-11T03:00:00Z,75,0,0
2025-07-11T04:00:00Z,76,0,0
2025-07-11T05:00:00Z,75,0,4
2025-07-11T06:00:00Z,74,0,0
2025-07-11T07:00:00Z,74,0,0
2025-07-11T08:00:00Z,74,0,4
2025-07-11T09:00:00Z,74,0,6
2025-07-11T10:00:00Z,74,0,4
2025-07-11T11:00:00Z,76,0,4
2025-07-11T12:00:00Z,77,0,8
2025-07-11T13:00:00Z,77,0,4
2025-07-11T14:00:00Z,79,0,6
2025-07-11T15:00:00Z,82,0,9
2025-07-11T16:00:00Z,84,0,7
2025-07-11T17:00:00Z,84,0,3
2025-07-11T18:00:00Z,87,0,3
2025-07-11T19:00:00Z,88,0,4
2025-07-11T20:00:00Z,88,0,9
2025-07-11T21:00:00Z,86,0,8
2025-07-11T22:00:00Z,85,0,7
2025-07-11T23:00:00Z,83,0,5
2025-07-12T00:00:00Z,81,0,3
2025-07-12T01:00:00Z,79,0,5
2025-07-12T02:00:00Z,77,0,5
2025-07-12T03:00:00Z,77,0,6
2025-07-12T04:00:00Z,76,0,3
2025-07-12T05:00:00Z,76,0,3
2025-07-12T06:00:00Z,76,0,0
2025-07-12T07:00:00Z,76,0,3
2025-07-12T08:00:00Z,75,0,3
2025-07-12T09:00:00Z,75,0,4
2025-07-12T10:00:00Z,76,0,4
2025-07-12T11:00:00Z,77,0,4
2025-07-12T12:00:00Z,80,0,4
2025-07-12T13:00:00Z,81,0,7
2025-07-12T14:00:00Z,84.2,0,8
2025-07-12T15:00:00Z,85,0,0
2025-07-12T16:00:00Z,87,0,3
2025-07-12T17:00:00Z,88,0,0
2025-07-12T18:00:00Z,89,0,0
2025-07-12T19:00:00Z,90,0,3
2025-07-12T20:00:00Z,89,0,8
2025-07-12T21:00:00Z,85,0,7
2025-07-12T22:00:00Z,84,0,7
2025-07-12T23:00:00Z,82,0,7
2025-07-13T00:00:00Z,81,0,7
2025-07-13T01:00:00Z,79,0,5
2025-07-13T02:00:00Z,78,0,4
2025-07-13T03:00:00Z,77,0,6
2025-07-13T04:00:00Z,76,0,4
2025-07-13T05:00:00Z,75,0,5
2025-07-13T06:00:00Z,75,0,7
2025-07-13T07:00:00Z,75,0,3
2025-07-13T08:00:00Z,75,0,0
2025-07-13T09:00:00Z,76,0,0
2025-07-13T10:00:00Z,76,0,5
2025-07-13T11:00:00Z,78,0,6
2025-07-13T12:00:00Z,80,0,7
2025-07-13T13:00:00Z,81,0,4
2025-07-13T14:00:00Z,83,0,4
2025-07-13T15:00:00Z,85,0,3
2025-07-13T16:00:00Z,84.2,0,4
2025-07-13T17:00:00Z,87,0,3
2025-07-13T18:00:00Z,88,0,0
2025-07-13T19:00:00Z,90,0,0
2025-07-13T20:00:00Z,89,0,5
2025-07-13T21:00:00Z,86,0,11
2025-07-13T22:00:00Z,86,0,8
2025-07-13T23:00:00Z,84,0,9
2025-07-14T00:00:00Z,83,0,9
2025-07-14T01:00:00Z,79,0,6
2025-07-14T02:00:00Z,79,0,6
2025-07-14T03:00:00Z,78,0,5
2025-07-14T04:00:00Z,77,0,3
2025-07-14T05:00:00Z,77,0,5
2025-07-14T06:00:00Z,76,0,4
2025-07-14T07:00:00Z,76,0,4
2025-07-14T08:00:00Z,75.2,0,4
2025-07-14T09:00:00Z,77,0,4
2025-07-14T10:00:00Z,77,0,3
2025-07-14T11:00:00Z,78,0,4
2025-07-14T12:00:00Z,79,0,4
2025-07-14T13:00:00Z,79,0,4
2025-07-14T14:00:00Z,82,1e-4,5
2025-07-14T15:00:00Z,82,1e-4,4
2025-07-14T16:00:00Z,85,0,6
2025-07-14T17:00:00Z,85,0.01,5
2025-07-14T18:00:00Z,89,1e-4,10
2025-07-14T19:00:00Z,89,0,9
2025-07-14T20:00:00Z,87,0,10
2025-07-14T21:00:00Z,85,0,8
2025-07-14T22:00:00Z,84,0,6
2025-07-14T23:00:00Z,83,1e-4,12
2025-07-15T00:00:00Z,79,0.01,3
2025-07-15T01:00:00Z,76,0.06,4
2025-07-15T02:00:00Z,75,1e-4,7
2025-07-15T03:00:00Z,75,1e-4,5
2025-07-15T04:00:00Z,75,0,3
2025-07-15T05:00:00Z,75,0,4
2025-07-15T06:00:00Z,75,0,3
2025-07-15T07:00:00Z,75,0,3
2025-07-15T08:00:00Z,76,0,0
2025-07-15T09:00:00Z,76,0,0
2025-07-15T10:00:00Z,76,0,4
2025-07-15T11:00:00Z,76,0,6
2025-07-15T12:00:00Z,78,0,7
2025-07-15T13:00:00Z,78,0,5
2025-07-15T14:00:00Z,78,0,3
2025-07-15T15:00:00Z,79,1e-4,4
2025-07-15T16:00:00Z,79,1e-4,0
2025-07-15T17:00:00Z,85,0,4
2025-07-15T18:00:00Z,86,0,5
2025-07-15T19:00:00Z,86,0,5
2025-07-15T20:00:00Z,88,0,5
2025-07-15T21:00:00Z,88,0,3
2025-07-15T22:00:00Z,88,0,5
2025-07-15T23:00:00Z,87,0,7
2025-07-16T00:00:00Z,83,0,7
2025-07-16T01:00:00Z,81,0,7
2025-07-16T02:00:00Z,80,0,6
2025-07-16T03:00:00Z,79,0,4
2025-07-16T04:00:00Z,79,0,4
2025-07-16T05:00:00Z,78,0,3
2025-07-16T06:00:00Z,78,0,0
2025-07-16T07:00:00Z,78,0,3
2025-07-16T08:00:00Z,78,0,3
2025-07-16T09:00:00Z,77,0,4
2025-07-16T10:00:00Z,77,0,3
2025-07-16T11:00:00Z,78,0,3
2025-07-16T12:00:00Z,79,0,6
2025-07-16T13:00:00Z,81,0,4
2025-07-16T14:00:00Z,92,0,7
2025-07-16T15:00:00Z,86,0,6
2025-07-16T16:00:00Z,90,0,8
2025-07-16T17:00:00Z,90,0,8
2025-07-16T18:00:00Z,90,1e-4,9
2025-07-16T19:00:00Z,90,1e-4,7
2025-07-16T20:00:00Z,91,0,9
2025-07-16T21:00:00Z,89,0,13
2025-07-16T22:00:00Z,88,0,10
2025-07-16T23:00:00Z,87,0,9
2025-07-17T00:00:00Z,86,0,9
2025-07-17T01:00:00Z,85,0,7
2025-07-17T02:00:00Z,85,0,8
2025-07-17T03:00:00Z,77,0.05,17
2025-07-17T04:00:00Z,77,1e-4,13
2025-07-17T05:00:00Z,76,0.07,5
2025-07-17T06:00:00Z,75,0,6
2025-07-17T07:00:00Z,75,0,6
2025-07-17T08:00:00Z,75.2,0,6
2025-07-17T09:00:00Z,76,1e-4,6
2025-07-17T10:00:00Z,77,0,7
2025-07-17T11:00:00Z,78,0,8
2025-07-17T12:00:00Z,79,0,9
2025-07-17T13:00:00Z,82,0,14
2025-07-17T14:00:00Z,87,0,12
2025-07-17T15:00:00Z,89,0,13
2025-07-17T16:00:00Z,92,0,14
2025-07-17T17:00:00Z,92,0,12
2025-07-17T18:00:00Z,93,0,13
2025-07-17T19:00:00Z,94,0,18
2025-07-17T20:00:00Z,95,0,20
2025-07-17T21:00:00Z,94,0,14
2025-07-17T22:00:00Z,93,0,14
2025-07-17T23:00:00Z,92,0,12
2025-07-18T00:00:00Z,90,0,9
2025-07-18T01:00:00Z,89,0,10
2025-07-18T02:00:00Z,88,0,8
2025-07-18T03:00:00Z,86,0,7
2025-07-18T04:00:00Z,84,0,8
2025-07-18T05:00:00Z,82,0,6
2025-07-18T06:00:00Z,82,0,7
2025-07-18T07:00:00Z,81,0,5
2025-07-18T08:00:00Z,80,0,6
2025-07-18T09:00:00Z,79,0,6
2025-07-18T10:00:00Z,79,0,6
2025-07-18T11:00:00Z,80,0,7
2025-07-18T12:00:00Z,81,0,11
2025-07-18T13:00:00Z,80,0,9
2025-07-18T14:00:00Z,82,0,12
2025-07-18T15:00:00Z,82,0,7
2025-07-18T16:00:00Z,83,0,8
2025-07-18T17:00:00Z,83,0,7
2025-07-18T18:00:00Z,83,0,6
2025-07-18T19:00:00Z,83,0,7
2025-07-18T20:00:00Z,83,0,7
2025-07-18T21:00:00Z,83,0,7
2025-07-18T22:00:00Z,83,0,8
2025-07-18T23:00:00Z,82,0,5
2025-07-19T00:00:00Z,81,0,4
2025-07-19T01:00:00Z,80,0,3
2025-07-19T02:00:00Z,80,0,3
2025-07-19T03:00:00Z,76,0,4
2025-07-19T04:00:00Z,76,0,3
2025-07-19T05:00:00Z,76,0,4
2025-07-19T06:00:00Z,76,0,3
2025-07-19T07:00:00Z,76,1e-4,0
2025-07-19T08:00:00Z,75,0,4
2025-07-19T09:00:00Z,76,1e-4,5
2025-07-19T10:00:00Z,76,1e-4,5
2025-07-19T11:00:00Z,75,1e-4,4
2025-07-19T12:00:00Z,77,0,6
2025-07-19T13:00:00Z,78,0,3
2025-07-19T14:00:00Z,78,1e-4,5
2025-07-19T15:00:00Z,80,0,6
2025-07-19T16:00:00Z,77,1e-4,6
2025-07-19T17:00:00Z,78,0,8
2025-07-19T18:00:00Z,80,0,10
2025-07-19T19:00:00Z,82,1e-4,6
2025-07-19T20:00:00Z,81,0,5
2025-07-19T21:00:00Z,81,0,7
2025-07-19T22:00:00Z,80,0,7
2025-07-19T23:00:00Z,80,0,6
2025-07-20T00:00:00Z,78,0,8
2025-07-20T01:00:00Z,78,0,8
2025-07-20T02:00:00Z,77,0,5
2025-07-20T03:00:00Z,77,0,4
2025-07-20T04:00:00Z,77,0,4
2025-07-20T05:00:00Z,76,0,4
2025-07-20T06:00:00Z,76,0,4
2025-07-20T07:00:00Z,75.2,0,4
2025-07-20T08:00:00Z,76,0,0
2025-07-20T09:00:00Z,77,0,0
2025-07-20T10:00:00Z,77,0,4
2025-07-20T11:00:00Z,77,0,4
2025-07-20T12:00:00Z,79,0,0
2025-07-20T13:00:00Z,80,0,3
2025-07-20T14:00:00Z,81,0,5
2025-07-20T15:00:00Z,82,0,5
2025-07-20T16:00:00Z,87,0,7
2025-07-20T17:00:00Z,87,0,5
2025-07-20T18:00:00Z,89,0,0
2025-07-20T19:00:00Z,90,0,12
2025-07-20T20:00:00Z,90,0,13
2025-07-20T21:00:00Z,89,0,11
2025-07-20T22:00:00Z,86,0,14
2025-07-20T23:00:00Z,86,0,8
2025-07-21T00:00:00Z,84,0,8
2025-07-21T01:00:00Z,84,0,5
2025-07-21T02:00:00Z,84,0,8
2025-07-21T03:00:00Z,81,0,6
2025-07-21T04:00:00Z,80,0,5
2025-07-21T05:00:00Z,80,0,8
2025-07-21T06:00:00Z,78,0,9
2025-07-21T07:00:00Z,77,0,11
2025-07-21T08:00:00Z,75,0,9
